Subspecies	Sex	Source	VoucherID	Longitude	Latitude	Mass	Wing	Tail	Culmen	mPC1	mPC2	mPC3	bio1	bio3	bio7	bio12	bio15	bio18	Altitude	cPC1	cPC2	cPC3	cPC4
White	Male	Net	NA	-74.8491	6.23483	18	51	29.7	10.6	0.132333773732349	0.247222413443623	1.83876381383629	238	90	108	2805	40	578	871	2.02666032302925	-1.21452711891606	-0.077363934962493	0.233955970630698
White	Male	Net	NA	-74.8491	6.23483	16	51	27.7	11.3	-0.0582294181137887	-0.540904460610285	2.56557486553541	238	90	108	2805	40	578	871	2.02666032302925	-1.21452711891606	-0.077363934962493	0.233955970630698
White	Male	Net	NA	-74.8491	6.23483	19.65	54	29.9	11.4	1.37641050351631	0.0609297257813634	2.35475634472877	238	90	108	2805	40	578	871	2.02666032302925	-1.21452711891606	-0.077363934962493	0.233955970630698
White	Female	Net	NA	-74.8491	6.23483	17.12	52	30.6	11.7	1.1756697140898	-0.523828823985305	2.60574382799176	238	90	108	2805	40	578	871	2.02666032302925	-1.21452711891606	-0.077363934962493	0.233955970630698
White	Male	Net	NA	-74.86996	6.23483	NA	52	31.1	9.9	0.478794359090088	0.353664937782347	0.701703875821455	240	90	110	2692	40	558	803	1.58252377182788	-1.24221410808346	0.0596398964608652	0.33344238663569
White	Female	Net	NA	-74.87461	6.23483	16.44	49	33.7	9.8	0.326331575858346	0.016801485439621	0.468636573038861	240	90	110	2692	40	558	803	1.58252377182788	-1.24221410808346	0.0596398964608652	0.33344238663569
White	Male	Net	NA	-74.87461	6.23483	18.8	51	32.5	10.1	0.591584954590273	1.60945997933202	1.56920095539325	240	90	110	2692	40	558	803	1.58252377182788	-1.24221410808346	0.0596398964608652	0.33344238663569
White	Unknown	Museum	ICN-NP	-74.10755	6.27975	15.7	49	28	11.2	-0.477817980764428	-2.17387446304803	1.80866041903275	276	91	107	2699	36	378	170.5	-1.69752705116421	2.30535461943277	-1.16956200758377	1.83413530310673
White	Unknown	Museum	ICN-NP	-74.10755	6.27975	14.63	50	28	9.1	-1.17554361411132	-1.07629187003477	-0.431960328314902	276	91	107	2699	36	378	170.5	-1.69752705116421	2.30535461943277	-1.16956200758377	1.83413530310673
White	Unknown	Museum	ICN-NP	-74.10755	6.27975	14.98	51	29	9.7	-0.405773592095865	-0.439989906435182	0.416146600868435	276	91	107	2699	36	378	170.5	-1.69752705116421	2.30535461943277	-1.16956200758377	1.83413530310673
White	Female	Museum	ICN-NP	-74.10755	6.27975	14.55	54	29	9	0.142943511747738	-0.768101473760886	-1.03399796520867	276	91	107	2699	36	378	170.5	-1.69752705116421	2.30535461943277	-1.16956200758377	1.83413530310673
White	Unknown	Net	NA	-74.26435	6.30707	15.12	46	28	9.2	-2.28907296330857	-0.288123232573455	0.619216735182181	271	89	109	2604	37	582	229	-1.43202779982295	1.65866174422884	-0.743123337998876	1.26376134164834
White	Male	Net	NA	-74.26435	6.30707	13.42	51	30	9.3	-0.337680477993452	0.0467012881230253	0.0370398683474285	271	89	109	2604	37	582	229	-1.43202779982295	1.65866174422884	-0.743123337998876	1.26376134164834
White	Female	Net	NA	-75.013984	6.34778	17.48	55	21.5	8.2	-1.97174414106826	-0.475264311242586	-1.12325245927234	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	15.48	55	34	8.9	1.68657514174554	-0.0549378524051216	-1.52509172188622	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Male	Net	NA	-75.013984	6.34778	15.93	54	27.2	9.3	-0.20800734093012	-0.866072460703114	-0.48349598271101	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Male	Net	NA	-75.013984	6.34778	18.67	52	26.1	9.2	-1.19678796292778	0.693469537624502	0.590022143676295	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Male	Net	NA	-75.013984	6.34778	16.79	52	32	8.3	-0.0434725963634419	1.56932926280446	-0.819348177871189	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	14.58	53	33.1	9.8	1.34707026509806	-1.20923111749722	-0.609830781351495	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	14.28	54	33.2	9.4	1.42288200830724	-0.281140340890684	-0.778593984485013	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	18	53	28.9	9.3	-0.0195024719050947	-0.970660775534091	-0.615582573116944	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	14.9	55	33.6	10.1	2.1885688815716	-1.56846123213636	-0.730677502522971	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	17.5	55	35.3	9.5	2.31758754945656	-0.382781901152273	-1.08654832747709	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Unknown	Net	NA	-75.013984	6.34778	16.11	53	35.4	8	1.00299026968844	1.91184688487921	-1.56489246448528	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Female	Net	NA	-75.013984	6.34778	17.2	53	35	9	1.33977984782778	1.71431746487192	-0.341437517780902	231	89	112	2922	39	571	1093	2.68978970885634	-1.99694075019696	0.0937243044803021	0.28483495950271
White	Male	Net	NA	-74.64052	6.5514	18.53	50	29	9	-1.05318791829287	0.678064143562407	0.231699461958985	261	90	110	2535	44	515	425.5	-1.07115577457987	0.0302231690767153	-0.106155470104629	0.604351529678395
White	Male	Net	NA	-74.64052	6.5514	18.75	50	30.6	10.5	0.0581417021833928	0.193681831371868	1.70241334696882	261	90	110	2535	44	515	425.5	-1.07115577457987	0.0302231690767153	-0.106155470104629	0.604351529678395
