"Gbif_ID","Kingdom","Phylum","Class","Order","Family","Genus","Especies","Latitude","Longitude"
857526548,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.0558,-73.3548
727772395,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.35317,-74.99853
730243999,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.44,-75.33
373652100,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.45616,-75.1346
1098653165,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.06,-75.37
1133631797,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.16761,-73.47689
857526457,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.08247,-75.15671
830286925,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.0837,-74.0707
724230783,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.20803,-74.82236
727771984,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.37211,-75.03
730242115,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.6,-75.02
730250830,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.5,-74.87
1202635494,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.01367,-74.7105
1188866815,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",2.92384,-75.2351
1039563715,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.161,-73.29
1133634968,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.67372,-74.98161
1065327694,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.9,-75.11667
1142048067,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",8.4,-75.06667
1149045126,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.9932,-74.5494
1196542204,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.48195,-74.7185
860893226,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.50461,-74.62831
1205873491,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.76328,-74.8396
830603879,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.99986,-75.0615
978568909,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.35205,-74.9363
932900062,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.31665,-74.91234
1196624320,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.80194,-74.2522
1133632096,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.17856,-73.76633
373652142,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1258,-74.1115
830365962,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1416,-73.8569
1205729290,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.4318,-73.0843
1200315305,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.3233,-74.5369
955146729,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.93009,-74.8173
963588518,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.11,-74.0921
1065327728,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.1876,-74.99431
1133631574,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.16628,-73.47519
258220547,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.40214,-75.0374
590930303,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1236,-74.0882
724232042,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.20347,-74.83694
1200660451,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.36556,-74.5172
1195316360,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.84213,-74.3558
958935710,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.91658,-74.8169
830343840,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.0819,-73.9026
829645732,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1522,-74.1183
974243907,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1292,-74.1005
1207299790,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.11658,-74.9424
1189226497,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.36216,-74.6557
1158655307,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1577,-74.1367
724224002,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.39383,-75.01292
730242109,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.5,-74.71
896418143,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.41667,-73.41667
1098652899,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.36042,-74.72068
1133631207,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.20881,-73.44447
1176237909,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.06923,-74.8426
1182765347,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.17781,-75.2544
1196554078,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.28006,-75.3963
1197065887,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1353,-73.6352
1196328890,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.5525,-74.6278
